date,region,category,product,quantity,price,cost
2024-05-29,East,Electronics,Alpha,15,105,55.52
2024-05-30,West,Home,India,12,70,39.38
2024-05-31,South,Toys,Alpha,2,20,14.57
2024-06-01,East,Home,Echo,9,118,92.86
2024-06-02,West,Toys,Alpha,7,37,28.86
2024-06-03,South,Home,Juliett,9,42,33.18
2024-06-04,South,Toys,Echo,20,82,46.34
2024-06-05,West,Toys,Delta,18,88,68.41
2024-06-06,North,Toys,Charlie,10,96,67.08
2024-06-07,North,Clothing,Juliett,3,62,46.01
2024-06-08,North,Home,Alpha,12,84,67.01
2024-06-09,East,Toys,Golf,5,98,67.98
2024-06-10,West,Clothing,Hotel,8,72,55.05
2024-06-11,West,Clothing,Delta,20,41,24.93
2024-06-12,South,Home,Delta,7,56,49.84
2024-06-13,South,Clothing,Delta,16,60,39.72
2024-06-14,North,Electronics,Hotel,9,102,76.34
2024-06-15,South,Toys,Echo,1,96,84.43
2024-06-16,South,Toys,Alpha,15,27,16.07
2024-06-17,South,Clothing,Alpha,7,110,96.47
2024-06-18,West,Toys,Hotel,18,30,25.66
2024-06-19,North,Clothing,Alpha,5,94,58.07
2024-06-20,North,Home,Echo,3,26,18.84
2024-06-21,North,Home,Foxtrot,18,119,74.16
2024-06-22,East,Toys,India,18,50,28.56
2024-06-23,East,Clothing,Foxtrot,16,87,52.3
2024-06-24,North,Electronics,Golf,17,93,78.64
2024-06-25,East,Clothing,Golf,17,97,68.63
2024-06-26,East,Electronics,Charlie,18,78,63.7
2024-06-27,West,Home,Charlie,6,63,43.31
2024-06-28,North,Home,Hotel,4,102,59.33
2024-06-29,East,Home,Golf,18,38,23.87
2024-06-30,South,Toys,Juliett,9,33,19.42
2024-07-01,North,Home,Juliett,6,93,49.2
2024-07-02,West,Toys,Bravo,1,62,48.87
2024-07-03,East,Home,Hotel,2,35,21.05
2024-07-04,East,Toys,Golf,3,50,36.41
2024-07-05,West,Home,Golf,14,41,29.67
2024-07-06,East,Home,Charlie,17,120,81.32
2024-07-07,West,Toys,Delta,1,32,19.29
2024-07-08,West,Clothing,Hotel,2,60,44.54
2024-07-09,South,Clothing,Bravo,14,79,42.02
2024-07-10,East,Home,Delta,20,116,93.89
2024-07-11,East,Clothing,Hotel,18,80,51.84
2024-07-12,North,Electronics,Bravo,3,69,36.59
2024-07-13,West,Electronics,Echo,18,59,51.8
2024-07-14,North,Home,Golf,13,72,61.81
2024-07-15,South,Toys,Delta,9,50,44.24
2024-07-16,West,Home,Echo,19,105,86.26
2024-07-17,East,Home,Juliett,6,42,30.59
2024-07-18,West,Clothing,Foxtrot,12,21,18.32
